role,mean_ami,mean_ami_share,max_ami_share
FiST Leader,0.18463143286196024,0.22803874917514178,0.2877586362995586
JTAC,0.18106226268386605,0.2194827654542244,0.2818616061555933
FSO,0.1603699498188713,0.19916986084160043,0.2958550739428551
FOM,0.15172857653548244,0.18250201973941485,0.2900352141554389
FOA,0.15146291954609054,0.17080660478961857,0.23987751237962834
