window_start_sec,window_end_sec,window_mid_sec,window_mid_min,role,ami,ami_share,influence_concentration_hhi,event_in_window
0,179,89.5,1.4916666666666667,FiST Leader,0.07670595082698549,0.2877586362995586,0.2399577381142241,False
0,179,89.5,1.4916666666666667,FSO,0.052725551415870466,0.19779733658207244,0.2399577381142241,False
0,179,89.5,1.4916666666666667,JTAC,0.06247756993958158,0.23438155881380968,0.2399577381142241,False
0,179,89.5,1.4916666666666667,FOA,0.008201746622108997,0.030768452744637572,0.2399577381142241,False
0,179,89.5,1.4916666666666667,FOM,0.06645268668529078,0.2492940155599217,0.2399577381142241,False
15,194,104.5,1.7416666666666667,FiST Leader,0.07228646638257352,0.27980917762691015,0.23833325116587714,False
15,194,104.5,1.7416666666666667,FSO,0.05379901648992324,0.2082472600266848,0.23833325116587714,False
15,194,104.5,1.7416666666666667,JTAC,0.06097664258019448,0.23603068552991868,0.23833325116587714,False
15,194,104.5,1.7416666666666667,FOA,0.007996919073952176,0.030954775653149684,0.23833325116587714,False
15,194,104.5,1.7416666666666667,FOM,0.06328296911151648,0.24495810116333672,0.23833325116587714,False
30,209,119.5,1.9916666666666667,FiST Leader,0.17663996660227388,0.2319892761463281,0.21774658324578983,False
30,209,119.5,1.9916666666666667,FSO,0.09229576998236788,0.12121621896469432,0.21774658324578983,False
30,209,119.5,1.9916666666666667,JTAC,0.15649968033785647,0.20553812513143724,0.21774658324578983,False
30,209,119.5,1.9916666666666667,FOA,0.1151419672720717,0.1512211656021014,0.21774658324578983,False
30,209,119.5,1.9916666666666667,FOM,0.22083697743677352,0.2900352141554389,0.21774658324578983,False
45,224,134.5,2.2416666666666663,FiST Leader,0.28338219335680803,0.21743683388733273,0.20722316440489133,False
45,224,134.5,2.2416666666666663,FSO,0.1624301336414007,0.12463130999347247,0.20722316440489133,False
45,224,134.5,2.2416666666666663,JTAC,0.2742853506321973,0.21045690103770628,0.20722316440489133,False
45,224,134.5,2.2416666666666663,FOA,0.290166248664205,0.22264218391121246,0.20722316440489133,False
45,224,134.5,2.2416666666666663,FOM,0.29302120847535906,0.22483277117027606,0.20722316440489133,False
60,239,149.5,2.4916666666666667,FiST Leader,0.33616998262983405,0.22257685270771166,0.20641436472161453,False
60,239,149.5,2.4916666666666667,FSO,0.2055521583317709,0.13609529355016994,0.20641436472161453,False
60,239,149.5,2.4916666666666667,JTAC,0.28010072302637884,0.18545361154691337,0.20641436472161453,False
60,239,149.5,2.4916666666666667,FOA,0.3516863312826561,0.23285016748032625,0.20641436472161453,False
60,239,149.5,2.4916666666666667,FOM,0.3368454464642448,0.2230240747148787,0.20641436472161453,False
75,254,164.5,2.7416666666666667,FiST Leader,0.33850366420310096,0.21915228575627468,0.20452549662220493,False
75,254,164.5,2.7416666666666667,FSO,0.2266839150383987,0.146758523993523,0.20452549662220493,False
75,254,164.5,2.7416666666666667,JTAC,0.29319709016931644,0.18982013869469258,0.20452549662220493,False
75,254,164.5,2.7416666666666667,FOA,0.3600489376222076,0.2331010148731569,0.20452549662220493,False
75,254,164.5,2.7416666666666667,FOM,0.32617115506177036,0.21116803668235284,0.20452549662220493,False
90,269,179.5,2.9916666666666667,FiST Leader,0.37262300124314346,0.22282258501206573,0.2053810523072445,False
90,269,179.5,2.9916666666666667,FSO,0.23981687642332924,0.1434066500347276,0.2053810523072445,False
90,269,179.5,2.9916666666666667,JTAC,0.3545572728332003,0.21201956885095988,0.2053810523072445,False
90,269,179.5,2.9916666666666667,FOA,0.3948896725394482,0.2361376977166062,0.2053810523072445,False
90,269,179.5,2.9916666666666667,FOM,0.31039878132619075,0.18561349838564054,0.2053810523072445,False
105,284,194.5,3.2416666666666667,FiST Leader,0.3609714707756042,0.21885439489984326,0.20445760444307853,False
105,284,194.5,3.2416666666666667,FSO,0.25010832521573234,0.15163887067554277,0.20445760444307853,False
105,284,194.5,3.2416666666666667,JTAC,0.33406097886680414,0.20253875806986582,0.20445760444307853,False
105,284,194.5,3.2416666666666667,FOA,0.39564633138527694,0.23987751237962834,0.20445760444307853,False
105,284,194.5,3.2416666666666667,FOM,0.3085810544499034,0.18709046397511983,0.20445760444307853,False
120,299,209.5,3.4916666666666667,FiST Leader,0.372718289900781,0.22285849785457937,0.20449284328392986,False
120,299,209.5,3.4916666666666667,FSO,0.23844845491579802,0.14257487737568844,0.20449284328392986,False
120,299,209.5,3.4916666666666667,JTAC,0.333884928702236,0.199638965092568,0.20449284328392986,False
120,299,209.5,3.4916666666666667,FOA,0.3730517307728291,0.22305787130600765,0.20449284328392986,False
120,299,209.5,3.4916666666666667,FOM,0.35434029199490613,0.2118697883711565,0.20449284328392986,False
135,314,224.5,3.7416666666666667,FiST Leader,0.35304419983981444,0.21671186127543807,0.20198232989492287,False
135,314,224.5,3.7416666666666667,FSO,0.28475984693998907,0.17479634695846508,0.20198232989492287,False
135,314,224.5,3.7416666666666667,JTAC,0.32250068068843996,0.19796309585683144,0.20198232989492287,False
135,314,224.5,3.7416666666666667,FOA,0.3709726266232187,0.2277170066360893,0.20198232989492287,False
135,314,224.5,3.7416666666666667,FOM,0.29781760066553503,0.1828116892731761,0.20198232989492287,False
150,329,239.5,3.9916666666666667,FiST Leader,0.3252089222416132,0.2098927215344016,0.20262517402876498,False
150,329,239.5,3.9916666666666667,FSO,0.35131766302735185,0.22674353430295024,0.20262517402876498,False
150,329,239.5,3.9916666666666667,JTAC,0.31630776816262335,0.20414783777918846,0.20262517402876498,False
150,329,239.5,3.9916666666666667,FOA,0.31228811728188693,0.20155351946479394,0.20262517402876498,False
150,329,239.5,3.9916666666666667,FOM,0.2442829582323356,0.15766238691866566,0.20262517402876498,False
165,344,254.5,4.241666666666666,FiST Leader,0.28898896584714134,0.21082995435399282,0.20235313516617875,False
165,344,254.5,4.241666666666666,FSO,0.3096553039170323,0.22590694215235718,0.20235313516617875,False
165,344,254.5,4.241666666666666,JTAC,0.29390260476702185,0.21441466654587063,0.20235313516617875,False
165,344,254.5,4.241666666666666,FOA,0.2458475826628154,0.1793564487104225,0.20235313516617875,False
