window_start_sec,window_end_sec,window_mid_sec,window_mid_min,sample_entropy,inverse_sample_entropy,event_in_window
0,179,89.5,1.4916666666666667,0.04692337698489964,0.9551797409280924,False
15,194,104.5,1.7416666666666667,0.04692337698489964,0.9551797409280924,False
30,209,119.5,1.9916666666666667,0.051065478006567536,0.951415512092151,False
45,224,134.5,2.2416666666666663,0.04220266278195214,0.9595062800268611,False
60,239,149.5,2.4916666666666667,0.04635067352856965,0.9557025434195373,False
75,254,164.5,2.7416666666666667,0.06998790913809702,0.9345899999987157,False
90,269,179.5,2.9916666666666667,0.06745636054478675,0.9368064465788938,False
105,284,194.5,3.2416666666666667,0.07102991915552244,0.9336807330167513,False
120,299,209.5,3.4916666666666667,0.05908891637000644,0.9442077851475099,False
135,314,224.5,3.7416666666666667,0.05732630746877975,0.9457818205564015,False
150,329,239.5,3.9916666666666667,0.05290791524400726,0.949750671945755,False
165,344,254.5,4.241666666666666,0.04715672638131426,0.9549668877702052,False
180,359,269.5,4.491666666666666,0.04118278049299809,0.9604461567511728,False
195,374,284.5,4.741666666666666,0.035636799834918936,0.9655894809448645,False
210,389,299.5,4.991666666666666,0.0627987982979621,0.9409118655398064,False
225,404,314.5,5.241666666666666,0.08321852050981367,0.9231747621240384,False
240,419,329.5,5.491666666666666,0.09350338070781346,0.9144919143758937,False
255,434,344.5,5.741666666666666,0.09288230455122698,0.9150116127194798,False
270,449,359.5,5.991666666666666,0.10910083527354957,0.9016312748095254,False
285,464,374.5,6.241666666666666,0.14233334708071738,0.8754012150267202,True
300,479,389.5,6.491666666666666,0.2009754062939317,0.8326565179930553,True
315,494,404.5,6.741666666666666,0.2955694372849467,0.7718613693880003,True
330,509,419.5,6.991666666666666,0.46676563397196014,0.6817721773941676,True
345,524,434.5,7.241666666666666,0.7097782999525715,0.5848711496851607,True
360,539,449.5,7.491666666666666,0.9787191024080941,0.5053774428027725,True
375,554,464.5,7.741666666666666,0.952639353608065,0.5121273409512163,True
390,569,479.5,7.991666666666666,0.7537718023763802,0.5701996112863652,True
405,584,494.5,8.241666666666667,0.6575788801283864,0.6032895399358285,True
420,599,509.5,8.491666666666667,0.5427879744689491,0.6481772068156125,True
435,614,524.5,8.741666666666667,0.5182349300427129,0.6586595922752658,True
450,629,539.5,8.991666666666667,0.4564828824498889,0.6865854807149823,True
465,644,554.5,9.241666666666667,0.419097256898222,0.7046733373199101,False
480,659,569.5,9.491666666666667,0.42607480946727383,0.701225485059624,False
495,674,584.5,9.741666666666667,0.3719424160695207,0.72889356600323,False
510,689,599.5,9.991666666666667,0.3347247057767387,0.7492181688643077,False
525,704,614.5,10.241666666666667,0.2684690446951928,0.7883519146029262,False
540,719,629.5,10.491666666666667,0.2535790626155824,0.7977159397617158,False
555,734,644.5,10.741666666666667,0.25744218726206275,0.7952651900262597,False
570,749,659.5,10.991666666666667,0.282146838249435,0.7799418679418489,False
585,764,674.5,11.241666666666667,0.2558136265649396,0.7962965035945075,False
600,779,689.5,11.491666666666667,0.2082676932154521,0.8276311661853605,False
615,794,704.5,11.741666666666667,0.22888670998555924,0.8137446616309743,False
630,809,719.5,11.991666666666667,0.1871177290574476,0.8423764345546284,False
645,824,734.5,12.241666666666667,0.13850360760380223,0.8783459211909662,False
660,839,749.5,12.491666666666667,0.1105370206631342,0.9004652536507705,False
675,854,764.5,12.741666666666667,0.10850498646719872,0.9021159238868165,False
690,869,779.5,12.991666666666667,0.11142990433777564,0.8997418515527806,False
705,884,794.5,13.241666666666667,0.11862833553044036,0.8939519662049432,False
720,899,809.5,13.491666666666667,0.15065527221284553,0.8690700196218475,False
